"ID","oc_coffee_doll","NPV_restoration","total_bags","area_coffe_field_ha","group","total_bags_presente","bags_dif","yield_reais_pres","yield_reais_futur","dif_reais","NPV_yield_r","NPV_yield_d","NPV_yield_r_n.progr","NPV_yield_d_n.progr","NPV_yield_r_pres","NPV_yield_d_pres","CARedit","area_rest_ha","total_cost","NUM_MODULO","Sobreposicao","Area_Propriedade_ha","X","Y","APP_area_ha","RL_area_ha","CD_GEOCMU","regiao","Veg_area_ha","PropRL","PropVeg","Cafe_ha","Prop_coffee","Shape_Length","Shape_Area","Perimeter_Area","APPRast_ha","PropAPPrast","Veg_posrest_ha","PropVegposrest","target","compensation_costs","scale","Potential_comp_gain","restor_cost","TonC","rest_desc","restor_cost_f","total_cost_minusCoffee","total_benefits","c_b"
"MG-3101904-1526DC3576434919B84ACD381A6C1FDBindiv10",0,1998.77964894174,907.379999999994,29.3399999999998,"Scenarios",994.319999999993,-86.939999999999,425249.942371197,388067.516200797,-37182.4261703996,-365062.541107583,-113580.161756359,-365062.541107583,-113580.161756359,4175166.61920973,1298999.61395886,"MG-3101904-1526DC3576434919B84ACD381A6C1FDB",3.06,7940.78450933822,4.6623,0.016541631,121.2204895,350996.8438,7686126,12.69717789,25.8396225,3101904,3105,37.59207535,0.213162169,0.310113221,29.22750092,0.241110235,5255.23445,1212204.88,0.004335269,3.599999905,0.029697949,40.65207535,0.335356469171823,"fl10",0,"farm-level",5860.33979544818,6928.53896805826,258.89685836792,0.857612966859265,5942.00486039648,7940.78450933822,-107719.821960911,-115660.606470249
"MG-3101904-1526DC3576434919B84ACD381A6C1FDBindiv20",0,1998.77964894174,616.499999999996,29.3399999999998,"Scenarios",994.319999999993,-377.819999999997,425249.942371197,263664.202139998,-161585.740231199,-1586472.61653172,-493591.634630638,-1586472.61653172,-493591.634630638,4175166.61920973,1298999.61395886,"MG-3101904-1526DC3576434919B84ACD381A6C1FDB",3.06,7940.78450928964,4.6623,0.0165416310206486,121.220489501953,350996.84375,7686126,12.6971778869629,25.8396224975586,3101904,3105,37.5920753479004,0.213162168860435,0.310113221406937,29.2275009155273,0.241110235452652,5255.23444962087,1212204.88036001,0.00433526933193207,3.59999990463257,0.0296979490667582,40.6520753479004,0.335356469149099,"fl20",0,"farm-level",5860.33979631188,6928.53896800162,258.89685836792,0.857612966859265,5942.0048603479,7940.78450928964,-487731.294834326,-495672.079343616
"MG-3101904-1526DC3576434919B84ACD381A6C1FDBindiv30",0,1998.77964894174,1143.17999999999,29.3399999999998,"Scenarios",994.319999999993,148.859999999997,425249.942371197,488914.262128796,63664.3197575988,231502.869988988,72026.3803035921,625065.675975091,194473.693110783,4175166.61920973,1298999.61395886,"MG-3101904-1526DC3576434919B84ACD381A6C1FDB",3.06,7940.78450928964,4.6623,0.0165416310206486,121.220489501953,350996.84375,7686126,12.6971778869629,25.8396224975586,3101904,3105,37.5920753479004,0.213162168860435,0.310113221406937,29.2275009155273,0.241110235452652,5255.23444962087,1212204.88036001,0.00433526933193207,3.59999990463257,0.0296979490667582,40.6520753479004,0.335356469149099,"fl30",0,"farm-level",5860.33979631188,6928.53896800162,258.89685836792,0.857612966859265,5942.0048603479,7940.78450928964,200334.032907095,192393.248397805
"MG-3101904-1526DC3576434919B84ACD381A6C1FDBindiv40",0,5298.59145183592,964.979999999993,29.3399999999998,"Scenarios",994.319999999993,-29.34,425249.942371197,412701.835816797,-12548.1065544,-123199.15983548,-38330.3651475915,-123199.15983548,-38330.3651475915,4175166.61920973,1298999.61395886,"MG-3101904-1526DC3576434919B84ACD381A6C1FDB",10.89,16843.0354539338,4.6623,0.0165416310206486,121.220489501953,350996.84375,7686126,12.6971778869629,25.8396224975586,3101904,3105,37.5920753479004,0.213162168860435,0.310113221406937,29.2275009155273,0.241110235452652,5255.23444962087,1212204.88036001,0.00433526933193207,3.59999990463257,0.0296979490667582,48.4820753479004,0.399949509749499,"fl40",0,"farm-level",18225.9930353026,18168.204181709,913.904555740356,0.63542020370513,11544.4440020979,16843.0354539338,-20104.3721122889,-36947.4075662227
"MG-3101904-1526DC3576434919B84ACD381A6C1FDBint20",0,1998.77964894174,935.999999999994,29.3399999999998,"Scenarios",994.319999999993,-58.319999999999,425249.942371197,400307.693759997,-24942.2486111996,-244886.673538005,-76190.419066377,-244886.673538005,-76190.419066377,4175166.61920973,1298999.61395886,"MG-3101904-1526DC3576434919B84ACD381A6C1FDB",3.06,7940.78450928964,4.6623,0.0165416310206486,121.220489501953,350996.84375,7686126,12.6971778869629,25.8396224975586,3101904,3105,37.5920753479004,0.213162168860435,0.310113221406937,29.2275009155273,0.241110235452652,5255.23444962087,1212204.88036001,0.00433526933193207,3.59999990463257,0.0296979490667582,40.6520753479004,0.335356469149099,"rl20",0,"regional-level",0,6928.53896800162,258.89685836792,0.857612966859265,5942.0048603479,7940.78450928964,-76190.419066377,-84131.2035756666
"MG-3101904-1526DC3576434919B84ACD381A6C1FDBint30",0,1998.77964894174,1053.35999999999,29.3399999999998,"Scenarios",994.319999999993,59.0399999999969,425249.942371197,450500.119977596,25250.1776063986,91817.3414224732,28566.6901324999,247909.965803897,77131.0415239837,4175166.61920973,1298999.61395886,"MG-3101904-1526DC3576434919B84ACD381A6C1FDB",3.06,7940.78450928964,4.6623,0.0165416310206486,121.220489501953,350996.84375,7686126,12.6971778869629,25.8396224975586,3101904,3105,37.5920753479004,0.213162168860435,0.310113221406937,29.2275009155273,0.241110235452652,5255.23444962087,1212204.88036001,0.00433526933193207,3.59999990463257,0.0296979490667582,40.6520753479004,0.335356469149099,"rl30",0,"regional-level",0,6928.53896800162,258.89685836792,0.857612966859265,5942.0048603479,7940.78450928964,77131.0415239837,69190.2570146941
"MG-3101904-1526DC3576434919B84ACD381A6C1FDBint40",0,1998.77964894174,906.659999999994,29.3399999999998,"Scenarios",994.319999999993,-87.6599999999989,425249.942371197,387759.587205597,-37490.3551655996,-368085.833373484,-114520.784213968,-368085.833373484,-114520.784213968,4175166.61920973,1298999.61395886,"MG-3101904-1526DC3576434919B84ACD381A6C1FDB",3.06,7940.78450928964,4.6623,0.0165416310206486,121.220489501953,350996.84375,7686126,12.6971778869629,25.8396224975586,3101904,3105,37.5920753479004,0.213162168860435,0.310113221406937,29.2275009155273,0.241110235452652,5255.23444962087,1212204.88036001,0.00433526933193207,3.59999990463257,0.0296979490667582,40.6520753479004,0.335356469149099,"rl40",0,"regional-level",0,6928.53896800162,258.89685836792,0.857612966859265,5942.0048603479,7940.78450928964,-114520.784213968,-122461.568723258
"MG-3101904-1526DC3576434919B84ACD381A6C1FDBpresent",0,0,994.319999999993,29.3399999999998,"Present",994.319999999993,0,425249.942371197,425249.942371197,0,0,0,0,0,4175166.61920973,1298999.61395886,"MG-3101904-1526DC3576434919B84ACD381A6C1FDB",0,0,4.6623,0.0165416310206486,121.220489501953,350996.84375,7686126,12.6971778869629,25.8396224975586,3101904,3105,37.5920753479004,0.213162168860435,0.310113221406937,29.2275009155273,0.241110235452652,5255.23444962087,1212204.88036001,0.00433526933193207,3.59999990463257,0.0296979490667582,37.5920753479004,0.310113221406937,"present",0,"present",0,0,0,0,0,0,0,0
"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1indiv10",139.24287484366,4150.80790384503,460.980000000005,17.7300000000002,"Scenarios",445.499999999997,15.480000000008,190531.065779999,197151.539176802,6620.47339680346,24074.059031516,7490.04680303782,65000.7837169128,20223.3828386171,1870662.08952644,582010.145645941,"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1",4.32,16208.3765701715,5.002,0.024290304,130.0521088,349791.1563,7682985.5,16.95132256,25.89047813,3101904,3105,39.74240494,0.199077725,0.305588305,17.93250084,0.137887046,6921.42618,1300521.087,0.005322041,5.130000114,0.039445728,44.06240494,0.338805770598931,"fl10",0,"farm-level",1738.23595922509,15394.961256155,364.913154602051,0.783215265417169,12057.5686663265,16069.1336953279,21961.6187978422,5892.48510251432
"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1indiv20",139.24287484366,4150.80790384503,390.060000000004,17.7300000000002,"Scenarios",445.499999999997,-55.439999999993,190531.065779999,166820.533149602,-23710.532630397,-232793.504474374,-72427.9292359305,-232793.504474374,-72427.9292359305,1870662.08952644,582010.145645941,"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1",4.32,16208.3765702939,5.002,0.0242903040297352,130.052108764648,349791.15625,7682985.5,16.951322555542,25.8904781341553,3101904,3105,39.7424049377441,0.199077725410461,0.30558830499649,17.9325008392334,0.137887045741081,6921.42618027252,1300521.08656177,0.00532204052433372,5.13000011444092,0.0394457280635834,44.0624049377441,0.338805770673682,"fl20",0,"farm-level",1738.23597386884,15394.9612563113,364.913154602051,0.783215265417169,12057.5686664489,16069.1336954503,-70689.6932620617,-86758.8269575119
